"","Player","Nationality","Pos","Squad"
"376","Noni Madueke","ENG","FW","Chelsea"
"377","Harry Maguire","ENG","DF","Manchester Utd"
"378","Kobbie Mainoo","ENG","MF","Manchester Utd"
"379","Ainsley Maitland-Niles","ENG","DF,MF","Southampton"
"380","Tyrell Malacia","NED","DF","Manchester Utd"
"381","Orel Mangala","BEL","MF","Nott'ham Forest"
"382","Javier Manquillo","ESP","DF","Newcastle Utd"
"383","Sekou Mara","FRA","FW,MF","Southampton"
"384","Emiliano Marcondes","DEN","MF","Bournemouth"
"385","Marquinhos","BRA","MF","Arsenal"
"386","Emiliano Martínez","ARG","GK","Aston Villa"
"387","Pape Matar Sarr","SEN","MF","Tottenham"
"388","Joël Matip","CMR","DF","Liverpool"
"389","Kevin Mbabu","SUI","DF,FW","Fulham"
"390","John McGinn","SCO","MF","Aston Villa"
"391","Scott McKenna","SCO","DF","Nott'ham Forest"
"392","Weston McKennie","USA","MF","Leeds United"
"393","Scott McTominay","SCO","MF","Manchester Utd"
"394","Edouard Mendy","SEN","GK","Chelsea"
"395","Chris Mepham","WAL","DF","Bournemouth"
"396","Illan Meslier","FRA","GK","Leeds United"
"397","Alexander Mighten","ENG","FW","Nott'ham Forest"
"398","Luka Milivojevi?","SRB","MF","Crystal Palace"
"399","James Milner","ENG","DF,MF","Liverpool"
"400","Tyrone Mings","ENG","DF","Aston Villa"
"401","Tyrick Mitchell","ENG","DF","Crystal Palace"
"402","Andrew Moran","IRL","FW","Brighton"
"403","Álex Moreno","ESP","DF","Aston Villa"
"404","Lucas Moura","BRA","MF,DF","Tottenham"
"405","João Moutinho","POR","MF","Wolves"
"406","Divin Mubama","ENG","FW","West Ham"
"407","Mykhailo Mudryk","UKR","FW","Chelsea"
"408","Enock Mwepu","ZAM","FW,MF","Brighton"
"409","Vitaliy Mykolenko","UKR","DF,MF","Everton"
"410","Keylor Navas","CRC","GK","Nott'ham Forest"
"411","Wilfred Ndidi","NGA","MF,DF","Leicester City"
"412","Neto","BRA","GK","Bournemouth"
"413","Pedro Neto","POR","FW,MF","Wolves"
"414","Moussa Niakhate","FRA","DF","Nott'ham Forest"
"415","Rasmus Nissen","DEN","DF","Leeds United"
"416","Matheus Nunes","POR","MF","Wolves"
"417","Ethan Nwaneri","ENG","FW","Arsenal"
"418","Angelo Ogbonna","ITA","DF","West Ham"
"419","Robin Olsen","SWE","GK","Aston Villa"
"420","Josh Onomah","ENG","MF","Fulham"
"421","Paul Onuachu","NGA","FW","Southampton"
"422","Frank Onyeka","NGA","MF","Brentford"
"423","Mislav Orši?","CRO","MF","Southampton"
"424","Dango Ouattara","BFA","MF,FW","Bournemouth"
"425","David Ozoh",NA,"FW","Crystal Palace"
"426","Cole Palmer","ENG","FW,MF","Manchester City"
"427","Nathan Patterson","SCO","DF,MF","Everton"
"428","Ben Pearson","ENG","MF","Bournemouth"
"429","Facundo Pellistri","URU","FW","Manchester Utd"
"430","Ricardo Pereira","POR","FW,MF","Leicester City"
"431","Ayoze Pérez","ESP","MF,FW","Leicester City"
"432","Ivan Periši?","CRO","DF,MF","Tottenham"
"433","Máximo Perrone","ARG","MF","Manchester City"
"434","Kalvin Phillips","ENG","MF","Manchester City"
"435","Nathaniel Phillips","ENG","DF","Liverpool"
"436","Jordan Pickford","ENG","GK","Everton"
"437","Ethan Pinnock","JAM","DF","Brentford"
"438","Nick Pope","ENG","GK","Newcastle Utd"
"439","Pedro Porro","ESP","DF","Tottenham"
"440","Isaac Price","NIR","MF","Everton"
"441","Aaron Ramsdale","ENG","GK","Arsenal"
"442","David Raya","ESP","GK","Brentford"
"443","Nathan Redmond","ENG","DF","Southampton"
"444","Chris Richards","USA","DF","Crystal Palace"
"445","Richarlison","BRA","MF,FW","Tottenham"
"446","Jaïro Riedewald","NED","DF,FW","Crystal Palace"
"447","Matt Ritchie","SCO","MF,FW","Newcastle Utd"
"448","Andrew Robertson","SCO","DF","Liverpool"
"449","Antonee Robinson","USA","DF","Fulham"
"450","Marek Rodák","SVK","GK","Fulham"
"451","Mads Roerslev","DEN","DF","Brentford"
"452","Cristian Romero","ARG","DF","Tottenham"
"453","Oriol Romeu","ESP","MF","Southampton"
"454","Connor Ronan","IRL","MF","Wolves"
"455","Salomón Rondón","VEN","FW","Everton"
"456","Joe Rothwell","ENG","MF,DF","Bournemouth"
"457","Georginio Rutter","FRA","FW,MF","Leeds United"
"458","José Sá","POR","GK","Wolves"
"459","Marcel Sabitzer","AUT","MF","Manchester Utd"
"460","Mohammed Salisu","GHA","DF","Southampton"
"461","Albert Sambi Lokonga","BEL","MF","Arsenal"
"462","Albert Sambi Lokonga","BEL","MF","Crystal Palace"
"463","Davinson Sánchez","COL","DF","Tottenham"
"464","Robert Sánchez","ESP","GK","Brighton"
"465","Morgan Sanson","FRA","MF","Aston Villa"
"466","Jeremy Sarmiento","ECU","MF","Brighton"
"467","Gustavo Scarpa","BRA","MF,FW","Nott'ham Forest"
"468","Kevin Schade","GER","FW,MF","Brentford"
"469","Nélson Semedo","POR","DF","Wolves"
"470","Antoine Semenyo","GHA","FW,MF","Bournemouth"
"471","Jonjo Shelvey","ENG","MF","Newcastle Utd"
"472","Jonjo Shelvey","ENG","MF","Nott'ham Forest"
"473","Thiago Silva","BRA","DF","Chelsea"
"474","Ellis Simms","ENG","FW","Everton"
"475","Adam Smith","ENG","DF","Bournemouth"
"476","Emile Smith Rowe","ENG","MF,FW","Arsenal"
"477","Cédric Soares","POR","DF","Arsenal"
"478","Cédric Soares","POR","DF","Fulham"
"479","Boubakary Soumaré","FRA","MF","Leicester City"
"480","Harry Souttar","AUS","DF","Leicester City"
"481","Ça?lar Söyüncü","TUR","DF","Leicester City"
"482","Djed Spence","ENG","FW,DF","Tottenham"
"483","Jack Stacey","ENG","DF","Bournemouth"
"484","Junior Stanislas","ENG","MF","Bournemouth"
"485","Jay Stansfield","ENG","FW","Fulham"
"486","Jack Stephens","ENG","DF","Southampton"
"487","Jack Stephens","ENG","DF","Bournemouth"
"488","John Stones","ENG","DF","Manchester City"
"489","Kamaldeen Sulemana","GHA","FW,MF","Southampton"
"490","Japhet Tanganga","ENG","DF","Tottenham"
"491","Matt Targett","ENG","DF","Newcastle Utd"
"492","Kenny Tete","NED","DF","Fulham"
"493","Luke Thomas","ENG","DF","Leicester City"
"494","Kieran Tierney","SCO","DF","Arsenal"
"495","Harry Toffolo","ENG","DF","Nott'ham Forest"
"496","Takehiro Tomiyasu","JPN","DF","Arsenal"
"497","Boubacar Traoré","MLI","MF","Wolves"
"498","Mark Travers","IRL","GK","Bournemouth"
"499","",NA,"",""
"500","",NA,"",""
