"","Squad","MP","W","D","L","GF","GA","GD","Pts","Pts.MP","xG","xGA","xGD","xGD.90","Notes"
"346","Real Sociedad",0.491654768682357,0.936610167478925,-0.643600444289052,-0.266643793692312,0.553361470780259,0.258254715788181,0.240022392898988,0.853357481182733,0.675661621712963,-1.0014145481527,0,0,0,"Regular"
"347","Athletic Club",0.491654768682357,0.936610167478925,-0.970475275700675,-0.0868276902203847,0.212588099104152,-0.461989848398625,0.395947216385446,0.796173101255579,0.631984564947215,-1.0014145481527,0,0,0,"Regular"
"348","Espanyol",0.491654768682357,0.270100532107256,0.66389888135744,-0.266643793692312,-0.0145941486799188,0.0421813465321393,-0.0328460482023133,0.395882441765501,0.217052525672611,-1.0014145481527,0,0,0,"Regular"
"349","Alavés",0.491654768682357,0.103473123264338,1.31764854418069,-0.44645989716424,-0.468958644248061,-0.461989848398625,-0.0718272540739278,0.338698061838347,0.173375468906863,-1.0014145481527,0,0,0,"Regular"
"352","Valencia",0.491654768682357,-0.0631542855785789,-0.643600444289052,0.812252827139253,0.382974784942206,1.12254819281235,-0.344695695175229,-0.175961357506039,-0.350749212282111,-1.0014145481527,0,0,0,"Regular"
"353","Celta Vigo",0.491654768682357,-0.0631542855785789,-0.970475275700675,0.99206893061118,0.212588099104152,1.41064601848707,-0.617564136276531,-0.233145737433193,-0.416264797430733,-1.0014145481527,0,0,0,"Regular"
"354","Las Palmas",0.491654768682357,-0.563036512107331,0.010149218534194,0.99206893061118,0.212588099104152,1.77076830058047,-0.812470165634604,-0.576252016996117,-0.743842723173842,-1.0014145481527,0,0,0,"Regular"
"355","Betis",0.491654768682357,-0.563036512107331,0.010149218534194,0.99206893061118,-0.468958644248061,1.05052373639367,-0.890432577377833,-0.576252016996117,-0.743842723173842,-1.0014145481527,0,0,0,"Regular"
"356","La Coruña",0.491654768682357,-0.896291329793166,0.990773712769063,0.812252827139253,-0.355367520356026,0.834450367137626,-0.69552654801976,-0.747805156777579,-0.918550950236833,-1.0014145481527,0,0,0,"Regular"
"357","Leganés",0.491654768682357,-0.896291329793166,0.66389888135744,0.99206893061118,-0.75293645397815,0.402303628625542,-0.734507753891375,-0.804989536704733,-0.984066535385455,-1.0014145481527,0,0,0,"Regular"
"358","Sporting Gijón",0.491654768682357,-1.06291873863608,0.337024049945817,1.35170113755504,-0.412163082302043,1.62671938774311,-1.16330101847913,-1.03372705641335,-1.20245181921419,-1.0014145481527,0,0,0,"Relegated"
"359","Osasuna",0.491654768682357,-1.56280096516484,0.337024049945817,1.89114944797082,-0.525754206194079,3.21125742895409,-2.09884995939788,-1.54838647575774,-1.72657650040317,-1.0014145481527,0,0,0,"Relegated"
"360","Granada",0.491654768682357,-1.56280096516484,-0.316725612877429,2.25078165491467,-1.09370982565426,2.34696395192992,-2.02088754765465,-1.66275523561204,-1.83576914231754,-1.0014145481527,0,0,0,"Relegated"
"361","Barcelona",0.491654768682357,2.6028842559081,-1.62422493852392,-1.5253565179958,3.5635262539192,-1.47033223826015,3.24157524501331,2.39733573921589,2.22619713689701,-1.0014145481527,0,0,0,"UCL"
"362","Real Madrid",0.491654768682357,2.43625684706518,-0.970475275700675,-1.70517262146773,3.44993513002717,-1.11020995616675,2.968706803912,2.34015135928874,2.18252008013126,-1.0014145481527,0,0,0,"UCL"
"363","Atlético Madrid",0.491654768682357,2.43625684706518,-1.62422493852392,-1.34554041452388,0.78054371856433,-2.26260125886564,1.76028942189195,2.22578259943443,2.07332743821689,-1.0014145481527,0,0,0,"UCL"
"364","Villarreal",0.491654768682357,0.769982758636008,0.337024049945817,-0.626276000636167,-0.298571958410008,-1.03818549974807,0.356966010513832,0.853357481182733,0.675661621712963,-1.0014145481527,0,0,0,"UCL"
"367","Sevilla",0.491654768682357,0.103473123264338,0.337024049945817,0.0929884132515428,0.0989969752121168,0.0421813465321393,0.0451163635409157,0.167144922056885,-0.00133275815612822,-1.0014145481527,0,0,0,"Regular"
"368","Málaga",0.491654768682357,-0.229781694421496,0.990773712769063,0.0929884132515428,-0.639345330086115,-1.03818549974807,0.123078775284145,-0.0615925976517313,-0.241556570367742,-1.0014145481527,0,0,0,"Regular"
"369","Real Sociedad",0.491654768682357,-0.0631542855785789,0.010149218534194,0.452620620195398,-0.24177639646399,-0.101867566305222,-0.110808459945542,-0.0615925976517313,-0.241556570367742,-1.0014145481527,0,0,0,"Regular"
"370","Betis",0.491654768682357,-0.396409103264414,0.990773712769063,0.27280451672347,-0.866527577870186,0.1862302593695,-0.69552654801976,-0.233145737433193,-0.416264797430733,-1.0014145481527,0,0,0,"Regular"
"371","Las Palmas",0.491654768682357,-0.229781694421496,-0.316725612877429,0.812252827139253,-0.24177639646399,0.258254715788181,-0.305714489303615,-0.290330117360347,-0.459941854196481,-1.0014145481527,0,0,0,"Regular"
